Neurons Units;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
64;68.0;76.0;78.0;72.0;78.0;72.0;62.0;72.0;74.0;70.0;72.2;4.6
128;70.0;74.0;74.0;78.0;84.0;70.0;68.0;82.0;62.0;78.0;74.0;6.39
256;84.0;80.0;72.0;90.0;86.0;82.0;86.0;72.0;64.0;78.0;79.4;7.59
512;84.0;80.0;80.0;62.0;80.0;76.0;74.0;74.0;74.0;82.0;76.6;5.94
1024;82.0;92.0;78.0;78.0;74.0;80.0;74.0;82.0;82.0;86.0;80.80000000000001;5.1499999999999995
2048;88.0;82.0;78.0;54.0;84.0;86.0;78.0;80.0;80.0;90.0;80.0;9.51
4096;86.0;82.0;82.0;78.0;82.0;86.0;90.0;86.0;76.0;88.0;83.6;4.18
