Neurons Units;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
64;84.0;56.00000000000001;68.0;76.0;56.00000000000001;68.0;80.0;76.0;78.0;82.0;72.39999999999999;9.58
128;76.0;82.0;78.0;76.0;76.0;80.0;90.0;62.0;76.0;76.0;77.2;6.58
256;86.0;90.0;90.0;82.0;78.0;82.0;78.0;74.0;78.0;84.0;82.19999999999999;5.1
512;66.0;72.0;86.0;84.0;86.0;80.0;82.0;82.0;74.0;92.0;80.4;7.31
1024;88.0;90.0;74.0;80.0;86.0;78.0;82.0;84.0;84.0;86.0;83.2;4.58
2048;92.0;84.0;84.0;90.0;86.0;86.0;80.0;78.0;84.0;68.0;83.2;6.4
4096;90.0;86.0;80.0;78.0;84.0;78.0;74.0;76.0;76.0;92.0;81.39999999999999;5.94
