Neurons Units;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
64;56.00000000000001;42.0;78.0;66.0;56.00000000000001;56.00000000000001;48.0;76.0;70.0;54.0;60.199999999999996;11.26
128;57.99999999999999;74.0;68.0;72.0;52.0;54.0;66.0;56.00000000000001;72.0;68.0;64.0;7.8
256;62.0;57.99999999999999;66.0;64.0;70.0;62.0;50.0;76.0;78.0;52.0;63.800000000000004;8.74
512;76.0;82.0;82.0;70.0;76.0;64.0;80.0;74.0;72.0;56.00000000000001;73.2;7.8100000000000005
1024;70.0;74.0;78.0;60.0;68.0;52.0;74.0;60.0;76.0;82.0;69.39999999999999;8.95
2048;84.0;80.0;57.99999999999999;66.0;64.0;80.0;76.0;70.0;86.0;76.0;74.0;8.72
4096;72.0;74.0;60.0;74.0;82.0;82.0;84.0;76.0;74.0;76.0;75.4;6.45
