Neurons Units;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
64;66.0;52.0;82.0;57.99999999999999;66.0;56.00000000000001;64.0;68.0;60.0;64.0;63.6;7.79
128;52.0;62.0;70.0;78.0;70.0;56.00000000000001;66.0;64.0;80.0;32.0;63.0;13.239999999999998
256;72.0;56.00000000000001;68.0;52.0;82.0;76.0;78.0;50.0;68.0;57.99999999999999;66.0;10.77
512;86.0;80.0;46.0;66.0;56.00000000000001;60.0;64.0;80.0;74.0;72.0;68.4;11.72
1024;57.99999999999999;82.0;70.0;70.0;76.0;82.0;72.0;44.0;80.0;78.0;71.2;11.39
2048;90.0;78.0;80.0;78.0;80.0;72.0;76.0;86.0;57.99999999999999;82.0;78.0;8.200000000000001
4096;66.0;60.0;78.0;70.0;76.0;66.0;76.0;82.0;88.0;86.0;74.8;8.73
