Metric;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
Acc;82.0;82.0;92.0;78.0;84.0;88.0;86.0;84.0;74.0;92.0;84.2;5.4
Pre;83.72;84.95;92.38;78.91;83.81;87.63;87.3;86.42999999999999;81.35;93.52000000000001;86.0;4.3
Sen;79.97;82.6;91.88;78.89;84.11999999999999;87.32;84.95;88.27000000000001;74.11;92.44;84.45;5.510000000000001
Spe;95.5;95.5;98.0;94.5;96.0;97.0;96.5;96.0;93.5;98.0;96.05;1.35
F1;81.8;83.76;92.13;78.9;83.96000000000001;87.48;86.11;87.33999999999999;77.56;92.97;85.2;4.82
GM;87.39;88.81;94.89;86.33999999999999;89.86;92.04;90.53999999999999;92.05;83.24000000000001;95.17999999999999;90.03999999999999;3.56
