Metric;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
Acc;96.0;100.0;100.0;96.0;100.0;96.0;100.0;100.0;100.0;98.0;98.6;1.7999999999999998
Pre;95.04;100.0;100.0;93.75;100.0;90.91;100.0;100.0;100.0;96.67;97.64;3.19
Sen;95.04;100.0;100.0;93.75;100.0;97.56;100.0;100.0;100.0;98.61;98.5;2.21
Spe;96.0;100.0;100.0;96.0;100.0;96.0;100.0;100.0;100.0;98.0;98.6;1.7999999999999998
F1;95.04;100.0;100.0;93.75;100.0;94.12;100.0;100.0;100.0;97.63;98.05;2.5700000000000003
GM;95.52000000000001;100.0;100.0;94.87;100.0;96.78;100.0;100.0;100.0;98.31;98.55000000000001;1.96
