Metric;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
Acc;100.0;100.0;100.0;100.0;95.0;100.0;100.0;100.0;100.0;100.0;99.5;1.5
Pre;100.0;100.0;100.0;100.0;94.44;100.0;100.0;100.0;100.0;100.0;99.44;1.67
Sen;100.0;100.0;100.0;100.0;95.83;100.0;100.0;100.0;100.0;100.0;99.58;1.25
Spe;100.0;100.0;100.0;100.0;95.0;100.0;100.0;100.0;100.0;100.0;99.5;1.5
F1;100.0;100.0;100.0;100.0;95.13000000000001;100.0;100.0;100.0;100.0;100.0;99.51;1.46
GM;100.0;100.0;100.0;100.0;95.42;100.0;100.0;100.0;100.0;100.0;99.53999999999999;1.38
