Metric;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;Mean;Std
Acc;94.0;98.0;98.0;96.0;98.0;96.0;98.0;100.0;96.0;100.0;97.39999999999999;1.7999999999999998
Pre;94.1;98.72;98.04;97.22;97.78;95.83;97.22;100.0;97.1;100.0;97.6;1.7000000000000002
Sen;93.11;96.3;98.81;96.49;98.77;95.0;98.33;100.0;95.56;100.0;97.24000000000001;2.18
Spe;97.0;99.0;99.0;98.0;99.0;98.0;99.0;100.0;98.0;100.0;98.7;0.8999999999999999
F1;93.60000000000001;97.49;98.42;96.86;98.27;95.41;97.77;100.0;96.32;100.0;97.42;1.8800000000000001
GM;95.04;97.64;98.9;97.24000000000001;98.88;96.49;98.67;100.0;96.77;100.0;97.96000000000001;1.53
